Product,Tab Name,Data Visualization,Data Viz Calculation,Data Point,Data Point Calculation,Data Dictionary Table,Data Dictionary Field,DD Data Type,Source Type,Source Data Collection,Source Table,Source Column Name,Source Data Type
DenialIQ,Claim Queue,Aging (MY QUEUE),"DATEDIFF(DAY, GETDATE(), ChargeSubmittedDate)",ChargeSubmittedDate,ChargeSubmittedDate,,ChargeSubmittedDate,date,,,,,
DenialIQ,Claim Queue,Progress (MY QUEUE),,,Progress,Users,Progress,,,,,,
DenialIQ,Claim Queue,Priority (ESCALATED),,,Priority,Users,Priority,,,,,,
DenialIQ,Claim Queue,Patient (ESCALATED),,PatientName,PatientName,patient,PatientName,VARCHAR,,,,,
DenialIQ,Claim Queue,Claim # (ESCALATED),,InsuranceClaimID,InsuranceClaimID,claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,Claim Queue,Payer (ESCALATED),,Payer,Payer,payer,Payer,VARCHAR,,,,,
DenialIQ,Claim Queue,Submitted Date (ESCALATED),,ClaimSubmittedDate,ClaimSubmittedDate,,ClaimSubmittedDate,date,,,,,
DenialIQ,Claim Queue,Charged (ESCALATED),,Charge,ChargeAmt,claims,ChargeAmt,"float(10,2)",,,,,
DenialIQ,Claim Queue,Ins. Balance (ESCALATED),WHERE PayerType = 'Insurance',Balance,Balance,transactions,Balance,"float(10,2)",,,,,
DenialIQ,Claim Queue,Ins. Balance (ESCALATED),,PayerType,PayerType,transactions,PayerType,VARCHAR,,,,,
DenialIQ,Claim Queue,Issue (ESCALATED),,Issue,Issue (CARCCode),Claims?,Issue (CARCCode),VARCHAR,,,,,
DenialIQ,Claim Queue,Aging (ESCALATED),"DATEDIFF(DAY, GETDATE(), ChargeSubmittedDate)",ChargeSubmittedDate,ChargeSubmittedDate,,ChargeSubmittedDate,date,,,,,
DenialIQ,Claim Queue,Progress (ESCALATED),,,Progress,Users,Progress,,,,,,
DenialIQ,Claim Queue,Priority (UNASSIGNED),,,Priority,Users,Priority,,,,,,
DenialIQ,Claim Queue,Patient (UNASSIGNED),,PatientName,PatientName,patient,PatientName,VARCHAR,,,,,
DenialIQ,Claim Queue,Claim # (UNASSIGNED),,InsuranceClaimID,InsuranceClaimID,claims,InsuranceClaimID,VARCHAR,,,,,
DenialIQ,Claim Queue,Payer (UNASSIGNED),,Payer,Payer,payer,Payer,VARCHAR,,,,,
